95,Bacillus phage Curly,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
96,Bacillus phage phiAGATE,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
97,Bacillus phage Riggi,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
98,Bacillus phage Glittering,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
99,Bacillus phage Blastoid,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
100,Bacillus phage Eoghan,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
101,Bacillus phage Andromeda,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
102,Bacillus phage Finn,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
103,Bacillus phage Gemini,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
104,Bacillus phage Taylor,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
105,Bacillus virus 1,Bacillus sp. H15-1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
106,Bacillus phage GA-1,Bacillus sp. H15-1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
107,Bacillus phage Grass,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
108,Bacillus phage CampHawk,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
109,Bacillus phage SPBc2,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
110,Bacillus phage B103,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
111,Bacillus phage phi105,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
112,Bacillus phage SPP1,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
113,Bacillus phage phi29,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
114,Bacillus phage PM1 DNA,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
115,Bacillus phage phiNIT1 DNA,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
116,Bacillus phage phiNIT1,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
117,Bacillus phage PZA,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
118,Bacillus phage SPO1,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
119,Bacillus phage PM1,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
120,Bacillus phage Spock,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
121,Bacillus phage BigBertha,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
122,Bacillus phage phiCM3,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
123,Bacillus phage CAM003,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
124,Bacillus phage Bam35c,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
125,Bacillus phage GIL16c,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
126,Bacillus phage BtCS33,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
127,Bacillus phage 0305phi8-36,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
128,Bacillus phage IEBH,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
129,Bacillus phage phIS3501,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
130,Bacillus phage BMBtp2,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
131,Bacillus phage pGIL01,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
132,Bacillus phage BceA1,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
133,Bacillus phage proCM3,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
134,Bacillus phage Waukesha92,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
135,Bacillus phage Bobb,Bacillus thuringiensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
136,Bacillus phage MG-B1,Bacillus weihenstephanensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
137,Bacteroides phage B40-8,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
138,Bacteroides phage B124-14,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
139,Bdellovibrio phage phiMH2K,Bdellovibrio bacteriovorus,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
140,Bdellovibrio phage phi1402,Bdellovibrio bacteriovorus,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
141,Bdellovibrio phage phi1422,Bdellovibrio bacteriovorus,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
142,Bordetella phage BIP-1,Bordetella bronchiseptica,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
143,Bordetella phage BPP-1,Bordetella bronchiseptica,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
144,Bordetella phage BMP-1,Bordetella bronchiseptica,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
145,Corynebacterium phage BFK20,Brevibacterium flavum,Brevibacterium,Brevibacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
146,Brochothrix phage NF5,Brochothrix thermosphacta,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
147,Brochothrix phage A9,Brochothrix thermosphacta,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
148,Brochothrix phage BL3,Brochothrix thermosphacta,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
149,Brucella phage Tb,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
150,Brucella phage Fz,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
151,Brucella phage Wb,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
152,Brucella phage R/C,Brucella canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
153,Brucella phage Pr,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
